Section,Measure,Unit,Year,Value
Frequency of observation: Annual,"Demand-based GHG productivity, GDP per unit of energy-related GHG emissions 4","US dollars per kilogramme of CO2-equivalent, 2020",2019,2.29
Frequency of observation: Annual,"Demand-based GHG productivity, GDP per unit of energy-related GHG emissions 4","US dollars per kilogramme of CO2-equivalent, 2020",2020,2.01
Frequency of observation: Annual,Demand-based GHG intensity energy-related GHG per capita 4,Tonnes of CO2-equivalent per person,2009,13.26
Frequency of observation: Annual,Demand-based GHG intensity energy-related GHG per capita 4,Tonnes of CO2-equivalent per person,2010,12.4
Frequency of observation: Annual,Demand-based GHG intensity energy-related GHG per capita 4,Tonnes of CO2-equivalent per person,2011,12.49
Frequency of observation: Annual,Demand-based GHG intensity energy-related GHG per capita 4,Tonnes of CO2-equivalent per person,2012,14.38
Frequency of observation: Annual,Demand-based GHG intensity energy-related GHG per capita 4,Tonnes of CO2-equivalent per person,2013,15.14
Frequency of observation: Annual,Demand-based GHG intensity energy-related GHG per capita 4,Tonnes of CO2-equivalent per person,2014,14.17
Frequency of observation: Annual,Demand-based GHG intensity energy-related GHG per capita 4,Tonnes of CO2-equivalent per person,2015,15.0
Frequency of observation: Annual,Demand-based GHG intensity energy-related GHG per capita 4,Tonnes of CO2-equivalent per person,2016,14.23
Frequency of observation: Annual,Demand-based GHG intensity energy-related GHG per capita 4,Tonnes of CO2-equivalent per person,2017,14.09
Frequency of observation: Annual,Demand-based GHG intensity energy-related GHG per capita 4,Tonnes of CO2-equivalent per person,2018,13.65
Frequency of observation: Annual,Demand-based GHG intensity energy-related GHG per capita 4,Tonnes of CO2-equivalent per person,2019,13.31
Frequency of observation: Annual,Demand-based GHG intensity energy-related GHG per capita 4,Tonnes of CO2-equivalent per person,2020,14.54
Frequency of observation: Annual,Demand-based GHG emissions 4,"Tonnes of CO2-equivalent, Millions",2009,219.02
Frequency of observation: Annual,Demand-based GHG emissions 4,"Tonnes of CO2-equivalent, Millions",2010,207.42
Frequency of observation: Annual,Demand-based GHG emissions 4,"Tonnes of CO2-equivalent, Millions",2011,211.63
Frequency of observation: Annual,Demand-based GHG emissions 4,"Tonnes of CO2-equivalent, Millions",2012,247.04
Frequency of observation: Annual,Demand-based GHG emissions 4,"Tonnes of CO2-equivalent, Millions",2013,263.83
Frequency of observation: Annual,Demand-based GHG emissions 4,"Tonnes of CO2-equivalent, Millions",2014,250.64
Frequency of observation: Annual,Demand-based GHG emissions 4,"Tonnes of CO2-equivalent, Millions",2015,269.23
Frequency of observation: Annual,Demand-based GHG emissions 4,"Tonnes of CO2-equivalent, Millions",2016,259.33
Frequency of observation: Annual,Demand-based GHG emissions 4,"Tonnes of CO2-equivalent, Millions",2017,260.85
Frequency of observation: Annual,Demand-based GHG emissions 4,"Tonnes of CO2-equivalent, Millions",2018,256.55
Frequency of observation: Annual,Demand-based GHG emissions 4,"Tonnes of CO2-equivalent, Millions",2019,253.8
Frequency of observation: Annual,Demand-based GHG emissions 4,"Tonnes of CO2-equivalent, Millions",2020,281.3
Frequency of observation: Annual,Demand-based GHG emissions 4,"Index, 2000",2009,126.91
Frequency of observation: Annual,Demand-based GHG emissions 4,"Index, 2000",2010,120.19
Frequency of observation: Annual,Demand-based GHG emissions 4,"Index, 2000",2011,122.62
Frequency of observation: Annual,Demand-based GHG emissions 4,"Index, 2000",2012,143.14
Frequency of observation: Annual,Demand-based GHG emissions 4,"Index, 2000",2013,152.87
Frequency of observation: Annual,Demand-based GHG emissions 4,"Index, 2000",2014,145.23
Frequency of observation: Annual,Demand-based GHG emissions 4,"Index, 2000",2015,156.0
Frequency of observation: Annual,Demand-based GHG emissions 4,"Index, 2000",2016,150.27
Frequency of observation: Annual,Demand-based GHG emissions 4,"Index, 2000",2017,151.14
Frequency of observation: Annual,Demand-based GHG emissions 4,"Index, 2000",2018,148.65
Frequency of observation: Annual,Demand-based GHG emissions 4,"Index, 2000",2019,147.06
Frequency of observation: Annual,Demand-based GHG emissions 4,"Index, 2000",2020,162.99
Frequency of observation: Annual,"Energy productivity, GDP per unit of TES 1","US dollars per tonne of oil equivalent, 2020",2009,5914.27
Frequency of observation: Annual,"Energy productivity, GDP per unit of TES 1","US dollars per tonne of oil equivalent, 2020",2010,5827.59
Frequency of observation: Annual,"Energy productivity, GDP per unit of TES 1","US dollars per tonne of oil equivalent, 2020",2011,5593.97
Frequency of observation: Annual,"Energy productivity, GDP per unit of TES 1","US dollars per tonne of oil equivalent, 2020",2012,6135.51
